abv,brewery,date_added,name,num_ratings,rating,state,style,town,abv_range,category,year_added,ale
0.085,"Franklins Restaurant, Brewery & General Store",12/24/2010,Franklins Old Miser,8,3.0,MD,Old Ale,Hyattsville,8% and more,Strong Ale,2010,1
0.105,"Franklins Restaurant, Brewery & General Store",6/23/2016,"Franklins Older The Berry, The Sweeter The Juice",3,3.03,MD,Strong Ale - American,Hyattsville,8% and more,Strong Ale,2016,1
0.058,"Franklins Restaurant, Brewery & General Store",5/31/2014,Franklins Once Upon a Train,8,3.04,MD,Porter,Hyattsville,5-6%,Porter / Stout,2014,0
0.08,"Franklins Restaurant, Brewery & General Store",12/1/2013,Franklins One of Those Funky Thangs,8,3.18,MD,Sour / Wild Beer,Hyattsville,8% and more,Sour,2013,0
0.11,"Franklins Restaurant, Brewery & General Store",2/25/2004,Franklins One Tonne Imperial IPA,5,3.35,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2004,1
0.07,"Franklins Restaurant, Brewery & General Store",11/7/2015,Franklins Outa-Space,2,3.05,MD,Sour / Wild Beer,Hyattsville,7-8%,Sour,2015,0
0.06,"Franklins Restaurant, Brewery & General Store",2/9/2009,Franklins Pepper Stout,14,3.27,MD,Stout,Hyattsville,6-7%,Porter / Stout,2009,0
0.05,"Franklins Restaurant, Brewery & General Store",5/6/2012,Franklins Petite Fleur,2,2.89,MD,Belgian Ale - Pale / Golden,Hyattsville,5-6%,Pale Ale,2012,1
0.075,"Franklins Restaurant, Brewery & General Store",3/7/2015,Franklins Placebo Syndrome,6,3.29,MD,Sour / Wild Beer,Hyattsville,7-8%,Sour,2015,0
0.07,"Franklins Restaurant, Brewery & General Store",3/24/2016,Franklins Plumpeltartskin,4,3.21,MD,Sour / Wild Beer,Hyattsville,7-8%,Sour,2016,0
0.06,"Franklins Restaurant, Brewery & General Store",2/29/2008,Franklins Poorhouse Porter,3,2.93,MD,Porter,Hyattsville,6-7%,Porter / Stout,2008,0
0.05,"Franklins Restaurant, Brewery & General Store",2/12/2010,Franklins Porteroy,6,3.1,MD,Porter,Hyattsville,5-6%,Porter / Stout,2010,0
0.065,"Franklins Restaurant, Brewery & General Store",1/13/2003,Franklins Private I.P.A.,55,3.36,MD,IPA,Hyattsville,6-7%,IPA,2003,1
0.053,"Franklins Restaurant, Brewery & General Store",5/28/2014,Franklins Psychedelic Smokehouse,22,3.04,MD,Sour / Wild Beer,Hyattsville,5-6%,Sour,2014,0
0.048,"Franklins Restaurant, Brewery & General Store",11/4/2010,Franklins Pumpkin Pie Stout,12,3.22,MD,Flavored - Other,Hyattsville,4-5%,Specialty,2010,0
0.063,"Franklins Restaurant, Brewery & General Store",6/8/2013,Franklins Purgatoire,10,3.08,MD,Sour / Wild Beer,Hyattsville,6-7%,Sour,2013,0
0.105,"Franklins Restaurant, Brewery & General Store",9/8/2008,Franklins Raspberry Tripel,4,3.33,MD,Flavored - Fruit,Hyattsville,8% and more,Specialty,2008,0
0.076,"Franklins Restaurant, Brewery & General Store",11/26/2011,Franklins Rauchroggen Bock,9,3.17,MD,Smoked - Rauchbier,Hyattsville,7-8%,Specialty,2011,0
0.044,"Franklins Restaurant, Brewery & General Store",9/6/2016,Franklins Rauchweizen,2,3.09,MD,Smoked - Rauchbier,Hyattsville,4-5%,Specialty,2016,0
0.055,"Franklins Restaurant, Brewery & General Store",5/6/2016,Franklins Red Drank,3,3.1,MD,Sour / Wild Beer,Hyattsville,5-6%,Sour,2016,0
0.068,"Franklins Restaurant, Brewery & General Store",2/9/2013,Franklins Ridiculous,9,3.06,MD,Sour / Wild Beer,Hyattsville,6-7%,Sour,2013,0
0.07,"Franklins Restaurant, Brewery & General Store",11/7/2015,"Franklins Right Place, Wrong Time",7,3.22,MD,Sour / Wild Beer,Hyattsville,7-8%,Sour,2015,0
0.05,"Franklins Restaurant, Brewery & General Store",10/14/2016,Franklins Rosé Garden,3,3.15,MD,Sour / Wild Beer,Hyattsville,5-6%,Sour,2016,0
0.05,"Franklins Restaurant, Brewery & General Store",1/13/2003,Franklins Rubber Chicken Red Ale,38,3.05,MD,Red Ale / Intl Amber Ale,Hyattsville,5-6%,Red Ale,2003,1
0.081,"Franklins Restaurant, Brewery & General Store",5/6/2012,Franklins Rubber Chicken's Revenge,7,3.29,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2012,1
0.065,"Franklins Restaurant, Brewery & General Store",2/3/2017,Franklins Rye.P.A.,2,3.09,MD,Pale Ale - American / APA,Hyattsville,6-7%,Pale Ale,2017,1
0.055,"Franklins Restaurant, Brewery & General Store",10/24/2010,Franklins Saison,9,3.14,MD,Saison / Farmhouse / Grisette,Hyattsville,5-6%,Farmhouse Ale,2010,1
0.06,"Franklins Restaurant, Brewery & General Store",12/21/2013,Franklins Save Our Saucer,3,3.11,MD,Pale Ale - American / APA,Hyattsville,6-7%,Pale Ale,2013,1
0.056,"Franklins Restaurant, Brewery & General Store",5/23/2018,Franklins Shh...It's A Secret,2,3.09,MD,Altbier / Sticke Alt,Hyattsville,5-6%,Lager,2018,0
0.055,"Franklins Restaurant, Brewery & General Store",3/21/2003,Franklins Sierra Madre Pale Ale,29,3.24,MD,Pale Ale - American / APA,Hyattsville,5-6%,Pale Ale,2003,1
0.08,"Franklins Restaurant, Brewery & General Store",2/17/2018,Franklins Silver General,4,3.27,MD,Bière de Garde / de Mars,Hyattsville,8% and more,Farmhouse Ale,2018,1
0.07,"Franklins Restaurant, Brewery & General Store",12/16/2004,Franklins Silver Lining,2,3.27,MD,IPA,Hyattsville,7-8%,IPA,2004,1
0.056,"Franklins Restaurant, Brewery & General Store",4/15/2018,Franklins Sippy Cup of Hops,1,3.02,MD,Pale Ale - American / APA,Hyattsville,5-6%,Pale Ale,2018,1
0.08,"Franklins Restaurant, Brewery & General Store",6/18/2010,Franklins Sir Hop-a-Lot,20,3.53,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2010,1
0.09,"Franklins Restaurant, Brewery & General Store",6/21/2014,Franklins Slippin' Into Darkness,5,3.31,MD,Sour / Wild Beer,Hyattsville,8% and more,Sour,2014,0
0.055,"Franklins Restaurant, Brewery & General Store",6/5/2010,Franklins Smoked Porter,6,3.06,MD,Porter,Hyattsville,5-6%,Porter / Stout,2010,0
0.08199999999999999,"Franklins Restaurant, Brewery & General Store",4/13/2015,Franklins So Long...And Thanks For All the Hops,5,3.39,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2015,1
0.045,"Franklins Restaurant, Brewery & General Store",6/19/2009,Franklins Solar Eclipse,8,3.08,MD,Mild Ale,Hyattsville,4-5%,Ale,2009,1
0.053,"Franklins Restaurant, Brewery & General Store",8/6/2011,Franklins Sorachi Samurai,2,2.96,MD,Pale Ale - American / APA,Hyattsville,5-6%,Pale Ale,2011,1
0.05,"Franklins Restaurant, Brewery & General Store",8/13/2015,Franklins Sourgarden,7,2.85,MD,Sour / Wild Beer,Hyattsville,5-6%,Sour,2015,0
0.044,"Franklins Restaurant, Brewery & General Store",3/19/2016,Franklins Sourhopnado,5,3.14,MD,Sour / Wild Beer,Hyattsville,4-5%,Sour,2016,0
0.08,"Franklins Restaurant, Brewery & General Store",5/6/2016,Franklins Spudmuncher,3,3.16,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2016,1
0.095,"Franklins Restaurant, Brewery & General Store",1/13/2003,Franklins St. Charles Imperial Stout,27,3.73,MD,Stout - Imperial,Hyattsville,8% and more,Porter / Stout,2003,0
0.04,"Franklins Restaurant, Brewery & General Store",11/4/2010,Franklins Stonehenge,8,3.0,MD,Mild Ale,Hyattsville,4-5%,Ale,2010,1
0.065,"Franklins Restaurant, Brewery & General Store",3/24/2016,Franklins Stout Armstrong,3,3.27,MD,Stout,Hyattsville,6-7%,Porter / Stout,2016,0
0.04,"Franklins Restaurant, Brewery & General Store",5/1/2009,Franklins Strawberry Blonde,1,2.79,MD,Flavored - Fruit,Hyattsville,4-5%,Specialty,2009,0
0.08,"Franklins Restaurant, Brewery & General Store",9/21/2018,Franklins Su-per-Cit-ra-Gal-axy-Dou-ble-I-P-A-De-li-cious,1,3.13,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2018,1
0.05,"Franklins Restaurant, Brewery & General Store",6/7/2003,Franklins Summer Wheat,16,3.02,MD,Wheat Ale,Hyattsville,5-6%,Wheat,2003,0
0.045,"Franklins Restaurant, Brewery & General Store",8/16/2014,Franklins Sundae,3,3.0,MD,Stout - Milk / Sweet,Hyattsville,4-5%,Porter / Stout,2014,0
0.059,"Franklins Restaurant, Brewery & General Store",6/28/2015,Franklins Tenacious C,4,3.16,MD,Sour / Wild Beer,Hyattsville,5-6%,Sour,2015,0
0.07,"Franklins Restaurant, Brewery & General Store",6/11/2011,Franklins Tennessee Tuxedo,2,2.89,MD,Stout,Hyattsville,7-8%,Porter / Stout,2011,0
0.05,"Franklins Restaurant, Brewery & General Store",11/7/2015,Franklins The Beer That Fell To Earth,2,3.23,MD,Sour / Wild Beer,Hyattsville,5-6%,Sour,2015,0
0.057,"Franklins Restaurant, Brewery & General Store",10/22/2013,Franklins The Broken Gnome,3,2.92,MD,Belgian Ale - Pale / Golden,Hyattsville,5-6%,Pale Ale,2013,1
0.085,"Franklins Restaurant, Brewery & General Store",2/16/2013,Franklins The Dragon Queen,17,3.09,MD,Belgian Ale - Strong Pale,Hyattsville,8% and more,Strong Ale,2013,1
0.035,"Franklins Restaurant, Brewery & General Store",1/13/2013,Franklins The Half Man,6,3.17,MD,Belgian Ale - Pale / Golden,Hyattsville,4% and less,Pale Ale,2013,1
0.061,"Franklins Restaurant, Brewery & General Store",4/3/2011,Franklins The Hatchet Job,7,3.01,MD,Red Ale / Intl Amber Ale,Hyattsville,6-7%,Red Ale,2011,1
0.08,"Franklins Restaurant, Brewery & General Store",1/13/2013,Franklins The Hop Strikes Black,4,3.29,MD,IPA - Black/Brown/Cascadian Dark,Hyattsville,8% and more,IPA,2013,1
0.1,"Franklins Restaurant, Brewery & General Store",3/16/2013,Franklins The Night's Watch,17,3.27,MD,Belgian Ale - Strong Pale,Hyattsville,8% and more,Strong Ale,2013,1
0.08,"Franklins Restaurant, Brewery & General Store",1/31/2015,Franklins Top Brass,7,3.12,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2015,1
0.09,"Franklins Restaurant, Brewery & General Store",4/16/2010,Franklins Tripel Bliss,13,3.22,MD,Tripel,Hyattsville,8% and more,Strong Ale,2010,1
0.06,"Franklins Restaurant, Brewery & General Store",1/13/2003,Franklins Twisted Turtle Pale Ale,48,3.17,MD,Pale Ale - English,Hyattsville,6-7%,Pale Ale,2003,1
0.08,"Franklins Restaurant, Brewery & General Store",2/16/2012,Franklins Unterhopft,4,3.08,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2012,1
0.102,"Franklins Restaurant, Brewery & General Store",6/11/2010,Franklins Van Damme,10,3.34,MD,Belgian Ale - Strong Pale,Hyattsville,8% and more,Strong Ale,2010,1
0.047,"Franklins Restaurant, Brewery & General Store",10/16/2011,Franklins Vanilla Bean Stout,4,3.04,MD,Stout,Hyattsville,4-5%,Porter / Stout,2011,0
0.06,"Franklins Restaurant, Brewery & General Store",2/21/2014,Franklins Vodou,2,2.9,MD,Pale Ale - American / APA,Hyattsville,6-7%,Pale Ale,2014,1
0.07200000000000001,"Franklins Restaurant, Brewery & General Store",11/1/2015,Franklins Weizenbock,2,3.02,MD,Bock - Weizenbock,Hyattsville,7-8%,Wheat,2015,0
0.06,"Franklins Restaurant, Brewery & General Store",8/5/2016,Franklins Wicked Happy V2,1,2.98,MD,IPA,Hyattsville,6-7%,IPA,2016,1
0.053,"Franklins Restaurant, Brewery & General Store",5/22/2010,Franklins Witty Twitty,5,2.98,MD,Witbier / Belgian White Ale,Hyattsville,5-6%,Ale,2010,1
0.085,"Franklins Restaurant, Brewery & General Store",1/4/2007,Franklins Wrecked Sleigh IPA,7,3.19,MD,IIPA - Imperial / Double IPA,Hyattsville,8% and more,IPA,2007,1
0.065,Frey's Brewing Company,7/4/2013,Frey's Backwoods Brigade,7,2.81,MD,Belgian Ale - Pale / Golden,Mount Airy,6-7%,Pale Ale,2013,1
0.071,Frey's Brewing Company,2/7/2014,Frey's Bulletproof Mustache,5,2.78,MD,IPA,Mount Airy,7-8%,IPA,2014,1
0.052000000000000005,Frey's Brewing Company,10/4/2013,Frey's Farmhouse Wheat,1,2.8,MD,Saison / Farmhouse / Grisette,Mount Airy,5-6%,Farmhouse Ale,2013,1
0.059,Frey's Brewing Company,9/20/2013,Frey's Pussy Pilot Parade,11,3.05,MD,IPA - Black/Brown/Cascadian Dark,Mount Airy,5-6%,IPA,2013,1
0.062,Frey's Brewing Company,5/24/2016,Frey's Shark A Cat,2,2.95,MD,Saison / Farmhouse / Grisette,Mount Airy,6-7%,Farmhouse Ale,2016,1
0.033,Frey's Brewing Company,11/20/2013,Frey's Shore Leave Sally Sour Ale,5,2.5,MD,Sour / Wild Beer,Mount Airy,4% and less,Sour,2013,0
0.05,Frey's Brewing Company,7/4/2013,Frey's The Recruit Mild,3,2.78,MD,Mild Ale,Mount Airy,5-6%,Ale,2013,1
0.08199999999999999,Frey's Brewing Company,7/4/2013,Frey's Whack Truck McDonkey,5,2.99,MD,IIPA - Imperial / Double IPA,Mount Airy,8% and more,IPA,2013,1
0.063,Full Tilt Brewing,1/25/2013,Full Tilt Baltimore Pale Ale,43,3.45,MD,Pale Ale - American / APA,Baltimore,6-7%,Pale Ale,2013,1
0.06,Full Tilt Brewing,11/6/2013,Full Tilt Berger Cookie Chocolate Stout,46,3.51,MD,Stout - Milk / Sweet,Baltimore,6-7%,Porter / Stout,2013,0
0.048,Full Tilt Brewing,2/5/2014,Full Tilt Camden Cream,21,2.9,MD,Cream Ale,Baltimore,4-5%,Ale,2014,1
0.052000000000000005,Full Tilt Brewing,6/1/2013,Full Tilt Fleet St. Raspberry Wheat,8,3.03,MD,Flavored - Fruit,Baltimore,5-6%,Specialty,2013,0
0.073,Full Tilt Brewing,5/13/2014,Full Tilt Fully Tilted Baltimore Pale Ale,9,3.19,MD,IPA,Baltimore,7-8%,IPA,2014,1
0.07200000000000001,Full Tilt Brewing,11/2/2017,Full Tilt Galacticat,4,3.22,MD,IPA,Baltimore,7-8%,IPA,2017,1
0.044,Full Tilt Brewing,11/6/2018,Full Tilt Govans Blackberry Gose,3,3.22,MD,Gose,Baltimore,4-5%,Sour,2018,0
0.083,Full Tilt Brewing,3/27/2014,Full Tilt Hop Harbor,11,3.45,MD,IIPA - Imperial / Double IPA,Baltimore,8% and more,IPA,2014,1
0.07400000000000001,Full Tilt Brewing,1/17/2016,Full Tilt Hops the Cat IPA,18,3.51,MD,IPA - Hazy / NEIPA,Baltimore,7-8%,NEIPA,2016,1
0.052000000000000005,Full Tilt Brewing,4/23/2015,Full Tilt In Memory Of...,6,3.18,MD,Pilsener / Pils / Pilsner,Baltimore,5-6%,Pale Lager,2015,0
0.066,Full Tilt Brewing,9/25/2015,Full Tilt Old Line Harvest Ale,1,3.02,MD,IPA,Baltimore,6-7%,IPA,2015,1
0.09,Full Tilt Brewing,8/30/2013,Full Tilt Patterson Pumpkin,31,3.21,MD,Flavored - Other,Baltimore,8% and more,Specialty,2013,0
0.045,Full Tilt Brewing,11/7/2014,Full Tilt The Bay IPA,14,3.13,MD,ISA - Session IPA,Baltimore,4-5%,IPA,2014,1
0.08199999999999999,Goonda Beersmiths,7/25/2017,Goonda / Peabody Heights DAMN,1,3.19,MD,IIPA - Imperial / Double IPA,Baltimore,8% and more,IPA,2017,1
0.08,Goonda Beersmiths,6/27/2018,Goonda Beersmiths Head in the Clouds,1,2.94,MD,IPA,Baltimore,8% and more,IPA,2018,1
0.063,Goonda Beersmiths,6/18/2016,Goonda Beersmiths K Saison,1,3.09,MD,Saison / Farmhouse / Grisette,Baltimore,6-7%,Farmhouse Ale,2016,1
0.085,Goonda Beersmiths,8/12/2018,Goonda Dil Se,3,3.22,MD,IIPA - Imperial / Double IPA,Baltimore,8% and more,IPA,2018,1
0.087,Goonda Beersmiths,10/16/2016,Goonda Night King,1,3.11,MD,Stout - Imperial,Baltimore,8% and more,Porter / Stout,2016,0
0.078,Goonda Beersmiths,8/25/2017,Goonda O.Ji,3,3.19,MD,IIPA - Imperial / Double IPA,Baltimore,7-8%,IPA,2017,1
0.078,Goonda Beersmiths,1/27/2018,Goonda O.Ji. - Vic Secret,1,3.23,MD,IIPA - Imperial / Double IPA,Baltimore,7-8%,IPA,2018,1
0.058,Goonda Beersmiths,7/23/2017,Goonda Rozay,1,3.11,MD,Wheat Ale,Baltimore,5-6%,Wheat,2017,0
0.08900000000000001,Goonda Beersmiths,6/18/2016,Goonda RS DIPA,1,3.02,MD,IIPA - Imperial / Double IPA,Baltimore,8% and more,IPA,2016,1
0.07400000000000001,Goonda Beersmiths,8/7/2017,Goonda Trap Trap Trap Trap Trap Trap,1,3.06,MD,IPA,Baltimore,7-8%,IPA,2017,1
0.055,Greenspring Brewing Company,4/21/2017,Greenspring DZ Bock,1,3.04,MD,Bock - Weizenbock,Chesapeake Beach,5-6%,Wheat,2017,0
0.075,Greenspring Brewing Company,4/21/2017,Greenspring Pound Foolish IPA,1,3.04,MD,IPA,Chesapeake Beach,7-8%,IPA,2017,1
0.06,Growlers,12/12/2013,"Growlers ""Zombiewolf"" Cranberry Oatmeal Stout",3,3.04,MD,Stout - Milk / Sweet,Gaithersburg,6-7%,Porter / Stout,2013,0
0.05,Growlers,10/20/2014,Growlers 1879 Porter,3,2.92,MD,Porter,Gaithersburg,5-6%,Porter / Stout,2014,0
0.07400000000000001,Growlers,5/19/2010,Growlers Alley Way Amber,3,2.94,MD,Bière de Garde / de Mars,Gaithersburg,7-8%,Farmhouse Ale,2010,1
0.068,Growlers,9/6/2011,Growlers Aracauna ESB,2,2.75,MD,Bitter - Premium / Strong / ESB,Gaithersburg,6-7%,Ale,2011,1
0.079,Growlers,4/5/2007,Growlers Belgian Blonde,2,2.56,MD,Belgian Ale - Strong Pale,Gaithersburg,7-8%,Strong Ale,2007,1
0.057,Growlers,5/16/2009,Growlers Blanks Blueberry Wheat Ale,3,2.82,MD,Wheat Ale,Gaithersburg,5-6%,Wheat,2009,0
0.065,Growlers,1/22/2008,Growlers Brass Latern IPA,3,3.0,MD,IPA,Gaithersburg,6-7%,IPA,2008,1
0.05,Growlers,2/10/2015,Growlers Break-in Pale Ale,1,2.71,MD,Pale Ale - American / APA,Gaithersburg,5-6%,Pale Ale,2015,1
0.102,Growlers,10/20/2014,Growlers Brewer's Reserve Bourbon Barrel IPA,1,2.93,MD,IPA,Gaithersburg,8% and more,IPA,2014,1
0.12,Growlers,2/10/2015,Growlers Brewers Reserve Lambic,1,2.76,MD,Sour / Wild Beer,Gaithersburg,8% and more,Sour,2015,0
0.085,Growlers,3/17/2015,Growlers Brewers Reserve Sour Barrel Aged Porter,2,2.77,MD,Sour / Wild Beer,Gaithersburg,8% and more,Sour,2015,0
0.05,Growlers,10/15/2016,Growlers Bright,1,2.98,MD,Amber Lager - Intl / Vienna,Gaithersburg,5-6%,Lager,2016,0
0.061,Growlers,1/14/2009,Growlers Broken Shovel Stout,7,3.25,MD,Stout,Gaithersburg,6-7%,Porter / Stout,2009,0
0.048,Growlers,9/16/2013,Growlers Bullseye Special Bitter,1,2.84,MD,Bitter - Ordinary / Best,Gaithersburg,4-5%,Ale,2013,1
0.05,Growlers,10/20/2014,Growlers Candy Corn Pumpkin,1,2.83,MD,Cream Ale,Gaithersburg,5-6%,Ale,2014,1
0.052000000000000005,Growlers,9/16/2013,Growlers Cascade Single Hop,2,2.86,MD,Pale Ale - American / APA,Gaithersburg,5-6%,Pale Ale,2013,1
0.083,Growlers,9/6/2006,Growlers Centennial Ale,2,3.41,MD,Strong Ale - American,Gaithersburg,8% and more,Strong Ale,2006,1
0.05,Growlers,10/14/2013,Growlers Chefeweizen,1,2.83,MD,Weissbier - Hefeweizen,Gaithersburg,5-6%,Wheat,2013,0
0.065,Growlers,10/14/2013,Growlers Chesapeake Old Bay Ale,1,2.84,MD,Flavored - Other,Gaithersburg,6-7%,Specialty,2013,0
0.042,Growlers,12/5/2014,Growlers Chestnut Street Brown Ale,3,2.89,MD,Brown Ale,Gaithersburg,4-5%,Amber Ale,2014,1
0.05,Growlers,4/22/2013,Growlers Chopped Tank Oyster Stout,2,2.92,MD,Stout,Gaithersburg,5-6%,Porter / Stout,2013,0
0.04,Growlers,6/28/2016,Growlers Citrus Sky Saison,1,3.0,MD,Saison / Farmhouse / Grisette,Gaithersburg,4-5%,Farmhouse Ale,2016,1
0.055,Growlers,12/5/2014,Growlers Clopper Oatmeal Stout,2,2.96,MD,Stout - Milk / Sweet,Gaithersburg,5-6%,Porter / Stout,2014,0
0.05,Growlers,4/19/2004,Growlers Cream Ale,5,2.76,MD,Cream Ale,Gaithersburg,5-6%,Ale,2004,1
0.09,Growlers,11/19/2013,Growlers Darkside Imperial Stout,1,2.93,MD,Stout - Imperial,Gaithersburg,8% and more,Porter / Stout,2013,0
0.062,Growlers,10/20/2014,Growlers Diamond APA,4,2.69,MD,Pale Ale - American / APA,Gaithersburg,6-7%,Pale Ale,2014,1
0.066,Growlers,5/29/2000,Growlers Diamond Stout,6,3.17,MD,Stout - Dry,Gaithersburg,6-7%,Porter / Stout,2000,0
0.05,Growlers,6/18/2013,Growlers Die Dunkelheit Dunkelweizen,1,2.83,MD,Weissbier - Dunkelweizen,Gaithersburg,5-6%,Wheat,2013,0
0.043,Growlers,5/15/2009,Growlers D’Rail Lite Ale,2,2.86,MD,Blonde Ale / Golden Ale,Gaithersburg,4-5%,Pale Ale,2009,1
0.053,Growlers,10/14/2013,Growlers Foxxxy Brown Spiced Brown Ale,1,2.84,MD,Flavored - Other,Gaithersburg,5-6%,Specialty,2013,0
0.07400000000000001,Growlers,4/22/2013,Growlers Franque el Tanque Tripel,1,2.81,MD,Tripel,Gaithersburg,7-8%,Strong Ale,2013,1
0.071,Growlers,12/5/2014,Growlers Funked Up Brown IPA,2,2.79,MD,IPA - Black/Brown/Cascadian Dark,Gaithersburg,7-8%,IPA,2014,1
0.045,Growlers,6/28/2016,Growlers Gaither Session IPA,1,3.0,MD,IPA,Gaithersburg,4-5%,IPA,2016,1
0.069,Growlers,12/12/2013,Growlers Gluteus Minimus Saison,2,2.7,MD,Saison / Farmhouse / Grisette,Gaithersburg,6-7%,Farmhouse Ale,2013,1
0.054000000000000006,Growlers,8/7/2013,Growlers Golden Nugget,1,2.77,MD,Pale Ale - American / APA,Gaithersburg,5-6%,Pale Ale,2013,1
0.08,Growlers,6/28/2016,Growlers Half Blood Dubbel,1,2.85,MD,Dubbel,Gaithersburg,8% and more,Strong Ale,2016,1
0.054000000000000006,Growlers,6/28/2016,Growlers Hard Target EPA,1,2.96,MD,Pale Ale - English,Gaithersburg,5-6%,Pale Ale,2016,1
0.057,Growlers,7/27/2003,Growlers Hardings IPA,12,2.72,MD,IPA,Gaithersburg,5-6%,IPA,2003,1
0.062,Growlers,9/16/2013,Growlers Hayes Harvest Rye IPA,1,2.86,MD,Specialty Grain - Other,Gaithersburg,6-7%,Specialty,2013,0
0.064,Growlers,12/12/2013,Growlers Hooked on Phoenix ESB,2,2.92,MD,Bitter - Premium / Strong / ESB,Gaithersburg,6-7%,Ale,2013,1
0.086,Growlers,10/28/2008,Growlers Hoppopotamus Double I.P.A,1,3.26,MD,IIPA - Imperial / Double IPA,Gaithersburg,8% and more,IPA,2008,1
0.061,Growlers,11/8/2009,Growlers I.P.A.,1,2.87,MD,IPA,Gaithersburg,6-7%,IPA,2009,1
0.053,Growlers,8/3/2002,Growlers Irvington Pale Ale,11,3.02,MD,Pale Ale - English,Gaithersburg,5-6%,Pale Ale,2002,1
0.054000000000000006,Growlers,10/14/2013,Growlers Kinder Toten Lager,1,2.86,MD,Amber Lager - Intl / Vienna,Gaithersburg,5-6%,Lager,2013,0
0.081,Growlers,10/20/2014,Growlers King DIPA,1,2.86,MD,IIPA - Imperial / Double IPA,Gaithersburg,8% and more,IPA,2014,1
0.05,Growlers,2/6/2006,Growlers Kingpin Kölsch,17,2.93,MD,Kölsch / Kölsch-Style,Gaithersburg,5-6%,Pale Lager,2006,0
0.064,Growlers,12/12/2013,Growlers Localdillo,3,2.93,MD,IPA,Gaithersburg,6-7%,IPA,2013,1
0.051,Growlers,12/5/2014,Growlers Log Town Golden Ale,3,2.5,MD,Blonde Ale / Golden Ale,Gaithersburg,5-6%,Pale Ale,2014,1
0.057,Growlers,9/6/2011,Growlers Log Towne Lager,1,2.69,MD,Pale Lager - North Am. / Light,Gaithersburg,5-6%,Pale Lager,2011,0
0.05,Growlers,8/5/2006,Growlers Logtowne Porter,3,3.38,MD,Porter,Gaithersburg,5-6%,Porter / Stout,2006,0
0.085,Growlers,12/3/2011,Growlers Loose Caboose Barleywine,1,2.83,MD,BarleyWine / WheatWine / RyeWine,Gaithersburg,8% and more,Strong Ale,2011,1
0.07,Growlers,10/14/2013,Growlers Maple Pumpkin Porter,1,2.84,MD,Flavored - Other,Gaithersburg,7-8%,Specialty,2013,0
0.052000000000000005,Growlers,5/15/2009,Growlers Meems Creme Ale,2,2.8,MD,Cream Ale,Gaithersburg,5-6%,Ale,2009,1
0.101,Growlers,1/14/2009,Growlers Monkey Fist Barley Wine,2,2.79,MD,BarleyWine / WheatWine / RyeWine,Gaithersburg,8% and more,Strong Ale,2009,1
0.062,Growlers,1/24/2010,Growlers Mt. Hood Pale Ale,1,2.83,MD,Pale Ale - American / APA,Gaithersburg,6-7%,Pale Ale,2010,1
0.092,Growlers,12/19/2013,Growlers Napoléon Emperial Amber,1,2.9,MD,Strong Ale - American,Gaithersburg,8% and more,Strong Ale,2013,1
0.06,Growlers,5/29/2000,Growlers Nut Brown Ale,10,3.0,MD,Brown Ale,Gaithersburg,6-7%,Amber Ale,2000,1
0.085,Growlers,11/19/2013,Growlers Olde Futhermucker Old Ale,3,3.08,MD,Old Ale,Gaithersburg,8% and more,Strong Ale,2013,1
0.053,Growlers,6/28/2016,Growlers Peach Fuzz Peach Gose,1,2.96,MD,Gose,Gaithersburg,5-6%,Sour,2016,0
0.055,Growlers,12/3/2011,Growlers PI's Pepper Beer,1,2.8,MD,Flavored - Other,Gaithersburg,5-6%,Specialty,2011,0
0.046,Growlers,7/7/2002,Growlers Powells Blueberry Wheat,8,3.21,MD,Flavored - Fruit,Gaithersburg,4-5%,Specialty,2002,0
0.092,Growlers,12/12/2013,Growlers Pumpquin Phoenix Imperial Pumpkin,3,3.05,MD,Flavored - Other,Gaithersburg,8% and more,Specialty,2013,0
0.135,Growlers,5/13/2012,Growlers Quint Eastwood,2,2.93,MD,Quadrupel / Abt,Gaithersburg,8% and more,Strong Ale,2012,1
0.057,Growlers,11/19/2013,Growlers Rawktoberfest Oktoberfest,1,2.81,MD,Märzen / Oktoberfest Bier,Gaithersburg,5-6%,Other Lager,2013,0
0.061,Growlers,1/28/2008,Growlers Razzputin Kölsch,2,2.68,MD,Kölsch / Kölsch-Style,Gaithersburg,6-7%,Pale Lager,2008,0
0.045,Growlers,2/1/2008,Growlers Red Kilt Ale,2,2.77,MD,Scottish Ale,Gaithersburg,4-5%,Ale,2008,1
0.08,Growlers,9/6/2011,Growlers Richter 5.9 Malt Liquor,1,2.69,MD,Malt Liquor,Gaithersburg,8% and more,Specialty,2011,0
0.065,Growlers,5/12/2012,Growlers Roof Razer IPA,2,2.84,MD,IPA,Gaithersburg,6-7%,IPA,2012,1
0.055,Growlers,2/24/2012,Growlers Rye of the Tiger,1,2.83,MD,Specialty Grain - Other,Gaithersburg,5-6%,Specialty,2012,0
