abv,brewery,date_added,name,num_ratings,rating,state,style,town,abv_range,category,year_added,ale
0.077,3 Stars Brewing Company,7/9/2018,3 Stars 77 Sevilles,3,3.25,DC,IIPA - Imperial / Double IPA,Washington,7-8%,IPA,2018,1
0.07200000000000001,3 Stars Brewing Company,5/10/2018,3 Stars 77's & Bonnevilles,1,3.02,DC,IPA,Washington,7-8%,IPA,2018,1
0.08,3 Stars Brewing Company,5/13/2018,3 Stars 808's,3,3.1,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2018,1
0.063,3 Stars Brewing Company,3/23/2015,3 Stars Above the Clouds,49,3.58,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2015,1
0.08,3 Stars Brewing Company,11/11/2011,3 Stars B.W. Rye #2,5,3.01,DC,Specialty Grain - Other,Washington,8% and more,Specialty,2011,0
0.08,3 Stars Brewing Company,12/13/2011,3 Stars B.W. Rye #2 Barrel Aged,2,2.86,DC,Porter,Washington,8% and more,Porter / Stout,2011,0
0.058,3 Stars Brewing Company,2/9/2012,3 Stars B.W. Rye #3,4,3.04,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2012,1
0.058,3 Stars Brewing Company,2/9/2012,3 Stars B.W. Rye #3 (Citra & lemon peel),3,3.07,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2012,1
0.02,3 Stars Brewing Company,3/23/2013,3 Stars B.W. Rye #4 (Rye Gose),8,2.96,DC,Gose,Washington,4% and less,Sour,2013,0
0.032,3 Stars Brewing Company,5/17/2013,3 Stars B.W. Rye #5,3,2.92,DC,Mild Ale,Washington,4% and less,Ale,2013,1
0.095,3 Stars Brewing Company,8/9/2013,3 Stars Barrel 1 Keg 1,5,3.15,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2013,0
0.102,3 Stars Brewing Company,5/8/2014,3 Stars Barrel Aged Winter Madness,6,3.05,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2014,1
0.059,3 Stars Brewing Company,10/4/2014,3 Stars Basement at the Alamo,2,2.9,DC,Pale Ale - American / APA,Washington,5-6%,Pale Ale,2014,1
0.048,3 Stars Brewing Company,9/17/2018,3 Stars Biscuits & Marmalade Kölsch,1,3.0,DC,Kölsch / Kölsch-Style,Washington,4-5%,Pale Lager,2018,0
0.045,3 Stars Brewing Company,2/14/2016,3 Stars Bless Your Heart,4,3.07,DC,Amber Lager - Intl / Vienna,Washington,4-5%,Lager,2016,0
0.09,3 Stars Brewing Company,7/28/2013,3 Stars Born Sinner,7,3.16,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2013,0
0.046,3 Stars Brewing Company,12/31/2018,3 Stars Boyzen Da Hood,1,3.09,DC,Gose,Washington,4-5%,Sour,2018,0
0.05,3 Stars Brewing Company,11/4/2018,3 Stars BW Rye (Lager),2,2.86,DC,Amber Lager - Intl / Vienna,Washington,5-6%,Lager,2018,0
0.052000000000000005,3 Stars Brewing Company,7/2/2013,3 Stars Citra & Lemon Peel Saison,81,3.39,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2013,1
0.05,3 Stars Brewing Company,10/15/2015,3 Stars Citra & Lemon Peel Saison (Blackberries),2,3.05,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2015,1
0.05,3 Stars Brewing Company,5/8/2014,3 Stars Citra & Lemon Peel Saison (Hibiscus),3,3.27,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2014,1
0.052000000000000005,3 Stars Brewing Company,9/21/2016,3 Stars Citra & Lemon Peel Saison (Watermelon Juice & Tequila Oak Chips),3,3.12,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2016,1
0.096,3 Stars Brewing Company,8/10/2012,3 Stars Coffee Pandemic,8,3.21,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2012,0
0.036000000000000004,3 Stars Brewing Company,6/6/2015,3 Stars Cognitive Dissonance,11,3.29,DC,Berliner Weisse,Washington,4% and less,Sour,2015,0
0.036000000000000004,3 Stars Brewing Company,6/10/2016,3 Stars Cognitive Dissonance (Pineapple),2,3.14,DC,Berliner Weisse,Washington,4% and less,Sour,2016,0
0.036000000000000004,3 Stars Brewing Company,9/15/2015,3 Stars Cognitive Dissonance (Raspberry),15,3.47,DC,Berliner Weisse,Washington,4% and less,Sour,2015,0
0.05,3 Stars Brewing Company,12/23/2016,3 Stars Courting the Squall,22,3.27,DC,Stout,Washington,5-6%,Porter / Stout,2016,0
0.08,3 Stars Brewing Company,10/6/2018,3 Stars Cutty Supreme,6,3.26,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2018,1
0.116,3 Stars Brewing Company,12/27/2015,3 Stars Death Star,3,2.85,DC,Belgian Ale - Strong Pale,Washington,8% and more,Strong Ale,2015,1
0.096,3 Stars Brewing Company,1/30/2019,3 Stars Desolation,3,3.48,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2019,0
0.045,3 Stars Brewing Company,9/10/2018,3 Stars Dubliner,1,2.77,DC,Red Ale / Intl Amber Ale,Washington,4-5%,Red Ale,2018,1
0.087,3 Stars Brewing Company,11/4/2012,3 Stars Ebony & Ivory,16,3.53,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2012,1
0.05,3 Stars Brewing Company,12/23/2016,3 Stars Embracing the Storm,1,3.04,DC,Stout,Washington,5-6%,Porter / Stout,2016,0
0.067,3 Stars Brewing Company,1/17/2018,3 Stars Funk Yo Couch,1,2.89,DC,Sour / Wild Beer,Washington,6-7%,Sour,2018,0
0.075,3 Stars Brewing Company,10/9/2018,3 Stars Funky Boss,1,3.15,DC,Sour - Flanders Red / Bruin,Washington,7-8%,Sour,2018,0
0.07400000000000001,3 Stars Brewing Company,12/30/2016,3 Stars Funkyard Dog,11,3.42,DC,Sour / Wild Beer,Washington,7-8%,Sour,2016,0
0.058,3 Stars Brewing Company,9/25/2016,3 Stars Ghost (Pineapple),1,3.02,DC,IPA,Washington,5-6%,IPA,2016,1
0.058,3 Stars Brewing Company,10/4/2014,3 Stars Ghost White IPA,63,3.43,DC,IPA,Washington,5-6%,IPA,2014,1
0.096,3 Stars Brewing Company,1/22/2013,3 Stars Global Pandemic,4,3.17,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2013,0
0.133,3 Stars Brewing Company,10/13/2017,3 Stars Grand Cru,5,3.37,DC,Belgian Ale - Strong Pale,Washington,8% and more,Strong Ale,2017,1
0.059,3 Stars Brewing Company,9/10/2015,3 Stars Grapefruit Ghost White IPA,13,3.28,DC,IPA,Washington,5-6%,IPA,2015,1
0.048,3 Stars Brewing Company,5/10/2014,3 Stars Green Eyed Devil,5,2.95,DC,ISA - Session IPA,Washington,4-5%,IPA,2014,1
0.153,3 Stars Brewing Company,12/15/2017,3 Stars Habeus Corpses,1,3.06,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2017,1
0.066,3 Stars Brewing Company,10/5/2012,3 Stars Harvest Ale,5,3.07,DC,Pale Ale - American / APA,Washington,6-7%,Pale Ale,2012,1
0.06,3 Stars Brewing Company,7/28/2013,3 Stars Harvester of Sorrow,4,3.35,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2013,1
0.083,3 Stars Brewing Company,8/25/2017,3 Stars Jabberwocky Superfly,2,3.04,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2017,1
0.042,3 Stars Brewing Company,9/14/2013,3 Stars Lime Basil Saison (Coconut),1,2.83,DC,Saison / Farmhouse / Grisette,Washington,4-5%,Farmhouse Ale,2013,1
0.042,3 Stars Brewing Company,9/1/2012,3 Stars Lime Basil Saison (LBJ),11,3.07,DC,Saison / Farmhouse / Grisette,Washington,4-5%,Farmhouse Ale,2012,1
0.124,3 Stars Brewing Company,3/9/2017,3 Stars Madness,2,3.26,DC,Old Ale,Washington,8% and more,Strong Ale,2017,1
