abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.08, 3 Stars Brewing Company,11/13/2014,www.ratebeer.com/beer/3-stars-2014-illuminati-series-3/298904/,3 Stars 2014 Illuminati Series #3,4,3.06,IIPA - Imperial / Double IPA,
, 3 Stars Brewing Company,1/14/2015,www.ratebeer.com/beer/3-stars-2014-illuminati-series-4/309919/,3 Stars 2014 Illuminati Series #4,9,3.35,Strong Ale - American,
, 3 Stars Brewing Company,1/14/2015,www.ratebeer.com/beer/3-stars-2014-illuminati-series-5/309918/,3 Stars 2014 Illuminati Series #5,5,3.24,Strong Ale - American,
0.124, 3 Stars Brewing Company,3/23/2015,www.ratebeer.com/beer/3-stars-2015-illuminati-1/322611/,3 Stars 2015 Illuminati #1,8,3.35,Strong Ale - American,38.0
0.081, 3 Stars Brewing Company,7/19/2015,www.ratebeer.com/beer/3-stars-2015-illuminati-2/348310/,3 Stars 2015 Illuminati #2,4,3.21,Stout - Imperial,
0.067, 3 Stars Brewing Company,9/21/2015,www.ratebeer.com/beer/3-stars-2015-illuminati-3/362402/,3 Stars 2015 Illuminati #3,1,2.81,Saison / Farmhouse / Grisette,
0.11, 3 Stars Brewing Company,11/30/2015,www.ratebeer.com/beer/3-stars-2015-illuminati-4/378752/,3 Stars 2015 Illuminati #4,5,2.78,Strong Ale - American,
0.104, 3 Stars Brewing Company,1/6/2016,www.ratebeer.com/beer/3-stars-2015-illuminati-5/387382/,3 Stars 2015 Illuminati #5,2,3.11,Strong Ale - American,
0.125, 3 Stars Brewing Company,2/27/2016,www.ratebeer.com/beer/3-stars-2016-illuminati-1/398596/,3 Stars 2016 Illuminati #1,6,3.06,Strong Ale - American,
0.069, 3 Stars Brewing Company,8/24/2016,www.ratebeer.com/beer/3-stars-2016-illuminati-2/444156/,3 Stars 2016 Illuminati #2,2,2.95,Saison / Farmhouse / Grisette,
