,name,link
47,3 Stars 77's & Bonnevilles,www.ratebeer.com/beer/3-stars-7739s-bonnevilles/617021/
48,3 Stars 808's,www.ratebeer.com/beer/3-stars-80839s/618042/
49,3 Stars Above the Clouds,www.ratebeer.com/beer/3-stars-above-the-clouds/322642/
50,3 Stars B.W. Rye #2,www.ratebeer.com/beer/3-stars-bw-rye-2/158518/
51,3 Stars B.W. Rye #2 Barrel Aged,www.ratebeer.com/beer/3-stars-bw-rye-2-barrel-aged/161062/
52,3 Stars B.W. Rye #3,www.ratebeer.com/beer/3-stars-bw-rye-3/165729/
53,3 Stars B.W. Rye #3 (Citra & lemon peel),www.ratebeer.com/beer/3-stars-bw-rye-3-citra-lemon-peel/165783/
54,3 Stars B.W. Rye #4 (Rye Gose),www.ratebeer.com/beer/3-stars-bw-rye-4-rye-gose/206326/
55,3 Stars B.W. Rye #5,www.ratebeer.com/beer/3-stars-bw-rye-5/213632/
56,3 Stars Barrel 1 Keg 1,www.ratebeer.com/beer/3-stars-barrel-1-keg-1/224372/
57,3 Stars Barrel Aged Winter Madness,www.ratebeer.com/beer/3-stars-barrel-aged-winter-madness/264502/
58,3 Stars Basement at the Alamo,www.ratebeer.com/beer/3-stars-basement-at-the-alamo/291232/
59,3 Stars Biscuits & Marmalade Kölsch,www.ratebeer.com/beer/3-stars-biscuits-marmalade-kolsch/658820/
60,3 Stars Bless Your Heart,www.ratebeer.com/beer/3-stars-bless-your-heart/395899/
61,3 Stars Born Sinner,www.ratebeer.com/beer/3-stars-born-sinner/222731/
62,3 Stars Boyzen Da Hood,www.ratebeer.com/beer/3-stars-boyzen-da-hood/692310/
63,3 Stars BW Rye (Lager),www.ratebeer.com/beer/3-stars-bw-rye-lager/672786/
64,3 Stars Citra & Lemon Peel Saison,www.ratebeer.com/beer/3-stars-citra-lemon-peel-saison/219159/
65,3 Stars Citra & Lemon Peel Saison (Blackberries),www.ratebeer.com/beer/3-stars-citra-lemon-peel-saison-blackberries/368129/
66,3 Stars Citra & Lemon Peel Saison (Hibiscus),www.ratebeer.com/beer/3-stars-citra-lemon-peel-saison-hibiscus/264504/
67,3 Stars Citra & Lemon Peel Saison (Watermelon Juice & Tequila Oak Chips),www.ratebeer.com/beer/3-stars-citra-lemon-peel-saison-watermelon-juice-tequila-oak-chips/451120/
68,3 Stars Coffee Pandemic,www.ratebeer.com/beer/3-stars-coffee-pandemic/182048/
69,3 Stars Cognitive Dissonance,www.ratebeer.com/beer/3-stars-cognitive-dissonance/338527/
70,3 Stars Cognitive Dissonance (Pineapple),www.ratebeer.com/beer/3-stars-cognitive-dissonance-pineapple/425317/
71,3 Stars Cognitive Dissonance (Raspberry),www.ratebeer.com/beer/3-stars-cognitive-dissonance-raspberry/361098/
72,3 Stars Courting the Squall,www.ratebeer.com/beer/3-stars-courting-the-squall/474237/
73,3 Stars Cutty Supreme,www.ratebeer.com/beer/3-stars-cutty-supreme/664098/
74,3 Stars Death Star,www.ratebeer.com/beer/3-stars-death-star/384886/
75,3 Stars Desolation,www.ratebeer.com/beer/3-stars-desolation/700447/
76,3 Stars Dubliner,www.ratebeer.com/beer/3-stars-dubliner/656803/
77,3 Stars Ebony & Ivory,www.ratebeer.com/beer/3-stars-ebony-ivory/191038/
78,3 Stars Embracing the Storm,www.ratebeer.com/beer/3-stars-embracing-the-storm/474246/
80,3 Stars Funk Yo Couch,www.ratebeer.com/beer/3-stars-funk-yo-couch/584866/
81,3 Stars Funky Boss,www.ratebeer.com/beer/3-stars-funky-boss/665194/
82,3 Stars Funkyard Dog,www.ratebeer.com/beer/3-stars-funkyard-dog/475638/
83,3 Stars Ghost (Pineapple),www.ratebeer.com/beer/3-stars-ghost-pineapple/452347/
84,3 Stars Ghost White IPA,www.ratebeer.com/beer/3-stars-ghost-white-ipa/291233/
85,3 Stars Global Pandemic,www.ratebeer.com/beer/3-stars-global-pandemic/198811/
86,3 Stars Grand Cru,www.ratebeer.com/beer/3-stars-grand-cru/559162/
87,3 Stars Grapefruit Ghost White IPA,www.ratebeer.com/beer/3-stars-grapefruit-ghost-white-ipa/359886/
88,3 Stars Green Eyed Devil,www.ratebeer.com/beer/3-stars-green-eyed-devil/264844/
89,3 Stars Habeus Corpses,www.ratebeer.com/beer/3-stars-habeus-corpses/576353/
90,3 Stars Harvest Ale,www.ratebeer.com/beer/3-stars-harvest-ale/187650/
91,3 Stars Harvester of Sorrow,www.ratebeer.com/beer/3-stars-harvester-of-sorrow/222730/
92,3 Stars Jabberwocky Superfly,www.ratebeer.com/beer/3-stars-jabberwocky-superfly/545924/
93,3 Stars Lime Basil Saison (Coconut),www.ratebeer.com/beer/3-stars-lime-basil-saison-coconut/229169/
94,3 Stars Lime Basil Saison (LBJ),www.ratebeer.com/beer/3-stars-lime-basil-saison-lbj/184218/
95,3 Stars Madness,www.ratebeer.com/beer/3-stars-madness/493819/
96,3 Stars Madness (toasted cardamom and juniper berries),www.ratebeer.com/beer/3-stars-madness-toasted-cardamom-and-juniper-berries/403944/
97,3 Stars Natural Mystic,www.ratebeer.com/beer/3-stars-natural-mystic/595790/
98,3 Stars Nectar of the Bogs,www.ratebeer.com/beer/3-stars-nectar-of-the-bogs/238891/
99,3 Stars Nerf Guns,www.ratebeer.com/beer/3-stars-nerf-guns/656798/
101,3 Stars Northern Hemisphere Samsquanch,www.ratebeer.com/beer/3-stars-northern-hemisphere-samsquanch/253701/
102,3 Stars Nuthin' But Dem Lacs,www.ratebeer.com/beer/3-stars-nuthin-but-dem-lacs/693727/
103,3 Stars Orange and Coriander Saison,www.ratebeer.com/beer/3-stars-orange-and-coriander-saison/656800/
104,3 Stars Pandemic Breakfast Porter,www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter/146097/
105,3 Stars Pandemic Breakfast Porter (Cherry Wood),www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-cherry-wood/224373/
106,3 Stars Pandemic Breakfast Porter (Cocoa),www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-cocoa/182490/
107,3 Stars Pandemic Breakfast Porter (Toasted Oak),www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-toasted-oak/182322/
108,3 Stars Pandemic Breakfast Porter (Vanilla Beans),www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-vanilla-beans/203114/
109,3 Stars Pandemic Breakfast Porter (Woodford Reserve),www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-woodford-reserve/191259/
111,3 Stars Peppercorn Saison (Apricots),www.ratebeer.com/beer/3-stars-peppercorn-saison-apricots/376062/
112,3 Stars Peppercorn Saison (Blue Plums),www.ratebeer.com/beer/3-stars-peppercorn-saison-blue-plums/365766/
113,3 Stars Peppercorn Saison (Cherries),www.ratebeer.com/beer/3-stars-peppercorn-saison-cherries/353032/
114,3 Stars Peppercorn Saison (Orange Peel),www.ratebeer.com/beer/3-stars-peppercorn-saison-orange-peel/545931/
115,3 Stars Persica Rising,www.ratebeer.com/beer/3-stars-persica-rising/371345/
116,3 Stars Phoenix Rye Saison,www.ratebeer.com/beer/3-stars-phoenix-rye-saison/254318/
117,3 Stars Pinkies Up,www.ratebeer.com/beer/3-stars-pinkies-up/650795/
118,3 Stars Pounding Trees,www.ratebeer.com/beer/3-stars-pounding-trees/451269/
119,3 Stars Queen of the Damned,www.ratebeer.com/beer/3-stars-queen-of-the-damned/264472/
120,3 Stars Sabertooth Unicorn,www.ratebeer.com/beer/3-stars-sabertooth-unicorn/646783/
121,3 Stars Sansho Panza,www.ratebeer.com/beer/3-stars-sansho-panza/276501/
122,3 Stars Sea Change,www.ratebeer.com/beer/3-stars-sea-change/191260/
123,3 Stars Sea Change (Oak),www.ratebeer.com/beer/3-stars-sea-change-oak/210791/
125,3 Stars Sonic Hummingbird,www.ratebeer.com/beer/3-stars-sonic-hummingbird/604619/
126,3 Stars Southern Belle,www.ratebeer.com/beer/3-stars-southern-belle/182046/
127,3 Stars Southern Belle (Lightly Toasted Oak),www.ratebeer.com/beer/3-stars-southern-belle-lightly-toasted-oak/182321/
128,"3 Stars Southern Belle (Toasted Coconut, Cocoa Nibs)",www.ratebeer.com/beer/3-stars-southern-belle-toasted-coconut-cocoa-nibs/328299/
129,3 Stars Southern Belle (Vanilla Beans),www.ratebeer.com/beer/3-stars-southern-belle-vanilla-beans/182045/
130,3 Stars Southern Belle with Pecan,www.ratebeer.com/beer/3-stars-southern-belle-with-pecan/672599/
131,3 Stars Star Dust,www.ratebeer.com/beer/3-stars-star-dust/480297/
132,3 Stars Starsky & Brunch,www.ratebeer.com/beer/3-stars-starsky-brunch/584868/
133,3 Stars Starsky and Dutch,www.ratebeer.com/beer/3-stars-starsky-and-dutch/374888/
134,3 Stars Technicolor Life,www.ratebeer.com/beer/3-stars-technicolor-life/545923/
138,3 Stars The Double Dipper,www.ratebeer.com/beer/3-stars-the-double-dipper/146102/
139,3 Stars The Movement,www.ratebeer.com/beer/3-stars-the-movement/218293/
141,3 Stars The Samsquanch,www.ratebeer.com/beer/3-stars-the-samsquanch/235487/
142,3 Stars The Samsquanch (Lemon Balm),www.ratebeer.com/beer/3-stars-the-samsquanch-lemon-balm/245713/
144,3 Stars The Syndicate,www.ratebeer.com/beer/3-stars-the-syndicate/146095/
145,3 Stars The Urban Farmhouse,www.ratebeer.com/beer/3-stars-the-urban-farmhouse/182044/
146,3 Stars The Urban Farmhouse (Cranberries & Bitter Orange Peel),www.ratebeer.com/beer/3-stars-the-urban-farmhouse-cranberries-bitter-orange-peel/302667/
147,3 Stars The Urban Farmhouse (Heather Tips),www.ratebeer.com/beer/3-stars-the-urban-farmhouse-heather-tips/270680/
148,3 Stars The Urban Farmhouse (Juniper and Bitter Orange Peel),www.ratebeer.com/beer/3-stars-the-urban-farmhouse-juniper-and-bitter-orange-peel/270550/
149,3 Stars The Urban Farmhouse (Lemon Peel and Citra Hops),www.ratebeer.com/beer/3-stars-the-urban-farmhouse-lemon-peel-and-citra-hops/186399/
150,3 Stars The Urban Farmhouse (Orange Peel & Centennial),www.ratebeer.com/beer/3-stars-the-urban-farmhouse-orange-peel-centennial/184151/
152,3 Stars Trouble in Paradise,www.ratebeer.com/beer/3-stars-trouble-in-paradise/543802/
153,3 Stars Two To The Dome,www.ratebeer.com/beer/3-stars-two-to-the-dome/209245/
154,3 Stars Two to the Dome (Apple Brandy Barrel),www.ratebeer.com/beer/3-stars-two-to-the-dome-apple-brandy-barrel/282667/
155,3 Stars Two to the Dome (Coffee),www.ratebeer.com/beer/3-stars-two-to-the-dome-coffee/220139/
156,3 Stars Two to the Dome (Virginia White Oak in Barbancourt Rum),www.ratebeer.com/beer/3-stars-two-to-the-dome-virginia-white-oak-in-barbancourt-rum/222284/
157,3 Stars Two to the Dome - Double Dry Hopped,www.ratebeer.com/beer/3-stars-two-to-the-dome-double-dry-hopped/474245/
158,3 Stars Vinsanity,www.ratebeer.com/beer/3-stars-vinsanity/245514/
159,3 Stars Wheelz of Steel,www.ratebeer.com/beer/3-stars-wheelz-of-steel/653716/
160,3 Stars Winter Madness,www.ratebeer.com/beer/3-stars-winter-madness/146099/
161,3 Stars Winter Madness (Bitter Orange),www.ratebeer.com/beer/3-stars-winter-madness-bitter-orange/261060/
162,3 Stars Winter Madness (Juniper Berries),www.ratebeer.com/beer/3-stars-winter-madness-juniper-berries/192873/
163,3 Stars Winter Madness (Red Wine),www.ratebeer.com/beer/3-stars-winter-madness-red-wine/280876/
164,3 Stars Zombie Date Night,www.ratebeer.com/beer/3-stars-zombie-date-night/206337/
165,DC Solidarity 2016 Grisette,www.ratebeer.com/beer/dc-solidarity-2016-grisette/454597/
167,Atlas Brew Works / DC Brau Emprosator,www.ratebeer.com/beer/atlas-brew-works-dc-brau-emprosator/470554/
168,Atlas Brew Works / Meridian Pint Double Dance of Days,www.ratebeer.com/beer/atlas-brew-works-meridian-pint-double-dance-of-days/520907/
169,Atlas Brew Works A Priest and a Rabbi Walk Into A Bar,www.ratebeer.com/beer/atlas-brew-works-a-priest-and-a-rabbi-walk-into-a-bar/660652/
171,Atlas Brew Works Anniversary Ale,www.ratebeer.com/beer/atlas-brew-works-anniversary-ale/286127/
172,Atlas Brew Works Anniversary Farmhouse,www.ratebeer.com/beer/atlas-brew-works-anniversary-farmhouse/313510/
173,Atlas Brew Works Barrel Aged Pumpernickel Stout,www.ratebeer.com/beer/atlas-brew-works-barrel-aged-pumpernickel-stout/353370/
174,Atlas Brew Works Batch 500,www.ratebeer.com/beer/atlas-brew-works-batch-500/691827/
175,Atlas Brew Works Birth Ritual,www.ratebeer.com/beer/atlas-brew-works-birth-ritual/544722/
176,Atlas Brew Works Blood Orange Gose,www.ratebeer.com/beer/atlas-brew-works-blood-orange-gose/545926/
178,Atlas Brew Works Coffee Common (Compass),www.ratebeer.com/beer/atlas-brew-works-coffee-common-compass/517608/
179,Atlas Brew Works Coffee Common (Zeke's),www.ratebeer.com/beer/atlas-brew-works-coffee-common-zeke39s/447225/
180,Atlas Brew Works Commoner,www.ratebeer.com/beer/atlas-brew-works-commoner/597021/
181,Atlas Brew Works Damn Good IPA,www.ratebeer.com/beer/atlas-brew-works-damn-good-ipa/618051/
182,Atlas Brew Works Dance of Days,www.ratebeer.com/beer/atlas-brew-works-dance-of-days/437568/
183,Atlas Brew Works District Common,www.ratebeer.com/beer/atlas-brew-works-district-common/227437/
184,Atlas Brew Works District Saison,www.ratebeer.com/beer/atlas-brew-works-district-saison/483902/
185,Atlas Brew Works Gaslight,www.ratebeer.com/beer/atlas-brew-works-gaslight/424975/
186,Atlas Brew Works Giant Flaming Zombie Polar Bear,www.ratebeer.com/beer/atlas-brew-works-giant-flaming-zombie-polar-bear/618056/
187,Atlas Brew Works Gov't Shutdown Ale,www.ratebeer.com/beer/atlas-brew-works-gov39t-shutdown-ale/232024/
188,Atlas Brew Works Hank's Hops,www.ratebeer.com/beer/atlas-brew-works-hank39s-hops/487115/
189,Atlas Brew Works Harvest Ale,www.ratebeer.com/beer/atlas-brew-works-harvest-ale/238905/
191,Atlas Brew Works Home Rule ( - 2017),www.ratebeer.com/beer/atlas-brew-works-home-rule-2017/254867/
192,Atlas Brew Works Home Rule (2018),www.ratebeer.com/beer/atlas-brew-works-home-rule-2018/631281/
193,Atlas Brew Works Hop Bot,www.ratebeer.com/beer/atlas-brew-works-hop-bot/725965/
194,Atlas Brew Works If I Did It...,www.ratebeer.com/beer/atlas-brew-works-if-i-did-it/515561/
195,Atlas Brew Works JRDS Brandy Barrel Aged Anniversary Farmhouse,www.ratebeer.com/beer/atlas-brew-works-jrds-brandy-barrel-aged-anniversary-farmhouse/313511/
196,Atlas Brew Works Kalinkin,www.ratebeer.com/beer/atlas-brew-works-kalinkin/426280/
197,Atlas Brew Works La Saison De Brett,www.ratebeer.com/beer/atlas-brew-works-la-saison-de-brett/426351/
198,Atlas Brew Works La Saison Des Fetes,www.ratebeer.com/beer/atlas-brew-works-la-saison-des-fetes/236778/
199,Atlas Brew Works La Saison Des Fetes (Brett),www.ratebeer.com/beer/atlas-brew-works-la-saison-des-fetes-brett/299278/
200,Atlas Brew Works Madoff,www.ratebeer.com/beer/atlas-brew-works-madoff/660651/
201,Atlas Brew Works NSFW,www.ratebeer.com/beer/atlas-brew-works-nsfw/228293/
202,Atlas Brew Works Ponzi,www.ratebeer.com/beer/atlas-brew-works-ponzi/353033/
203,Atlas Brew Works Pope in a Barrel,www.ratebeer.com/beer/atlas-brew-works-pope-in-a-barrel/426286/
204,Atlas Brew Works Pope Magic,www.ratebeer.com/beer/atlas-brew-works-pope-magic/650797/
205,Atlas Brew Works Port Barrel Silent Neighbor,www.ratebeer.com/beer/atlas-brew-works-port-barrel-silent-neighbor/620688/
206,Atlas Brew Works Power Handshake,www.ratebeer.com/beer/atlas-brew-works-power-handshake/546933/
208,Atlas Brew Works Rowdier,www.ratebeer.com/beer/atlas-brew-works-rowdier/470968/
209,Atlas Brew Works Rowdy,www.ratebeer.com/beer/atlas-brew-works-rowdy/227436/
210,Atlas Brew Works Rowdy (Bourbon Oak Chips),www.ratebeer.com/beer/atlas-brew-works-rowdy-bourbon-oak-chips/545928/
211,"Atlas Brew Works Rye, Rye My Darling",www.ratebeer.com/beer/atlas-brew-works-rye-rye-my-darling/437560/
212,Atlas Brew Works Should I Stay or Should I Gose,www.ratebeer.com/beer/atlas-brew-works-should-i-stay-or-should-i-gose/437565/
213,Atlas Brew Works Silent Neighbor,www.ratebeer.com/beer/atlas-brew-works-silent-neighbor/447224/
215,Atlas Brew Works Stable Genius,www.ratebeer.com/beer/atlas-brew-works-stable-genius/631279/
216,Atlas Brew Works The 1500 South Cap Lager,www.ratebeer.com/beer/atlas-brew-works-the-1500-south-cap-lager/262324/
217,Atlas Brew Works The Precious One,www.ratebeer.com/beer/atlas-brew-works-the-precious-one/722919/
218,Atlas Brew Works Tomb Essence,www.ratebeer.com/beer/atlas-brew-works-tomb-essence/555376/
219,Atlas Brew Works Town and Country,www.ratebeer.com/beer/atlas-brew-works-town-and-country/286712/
220,Atlas Brew Works Tropic Thunder,www.ratebeer.com/beer/atlas-brew-works-tropic-thunder/692465/
221,Atlas Brew Works Ugly and Stoned,www.ratebeer.com/beer/atlas-brew-works-ugly-and-stoned/521134/
222,Atlas Brew Works Wet Hop American Summer,www.ratebeer.com/beer/atlas-brew-works-wet-hop-american-summer/358668/
223,DC Solidarity 2018,www.ratebeer.com/beer/dc-solidarity-2018/650442/
225,Bardo Black IPA,www.ratebeer.com/beer/bardo-black-ipa/359145/
226,Bardo Bubba's Sour Mash,www.ratebeer.com/beer/bardo-bubba39s-sour-mash/300207/
227,Bardo Buffalo Stout,www.ratebeer.com/beer/bardo-buffalo-stout/300201/
228,Bardo Bunbaberg Ginger Beer,www.ratebeer.com/beer/bardo-bunbaberg-ginger-beer/11500/
230,Bardo Double Black 7 Grain Imperial IPA,www.ratebeer.com/beer/bardo-double-black-7-grain-imperial-ipa/300202/
231,Bardo Dremo Tibetan Sasquatch,www.ratebeer.com/beer/bardo-dremo-tibetan-sasquatch/300198/
232,Bardo Graceland Imperial Stout,www.ratebeer.com/beer/bardo-graceland-imperial-stout/387102/
233,Bardo Hank's Summer Sour Mash,www.ratebeer.com/beer/bardo-hank39s-summer-sour-mash/544515/
234,Bardo Imperial Black IPA,www.ratebeer.com/beer/bardo-imperial-black-ipa/544522/
235,Bardo Imperial Chuck Brown Ale,www.ratebeer.com/beer/bardo-imperial-chuck-brown-ale/300199/
239,Bardo Summit Pale Ale,www.ratebeer.com/beer/bardo-summit-pale-ale/387104/
240,Bardo Tatonka,www.ratebeer.com/beer/bardo-tatonka/300206/
242,Bardo Zeus,www.ratebeer.com/beer/bardo-zeus/300204/
243,Bluejacket / Arizona Wilderness Potential Grizzlies,www.ratebeer.com/beer/bluejacket-arizona-wilderness-potential-grizzlies/503291/
244,Bluejacket / Ben Middlemiss Space Cadet,www.ratebeer.com/beer/bluejacket-ben-middlemiss-space-cadet/350525/
245,Bluejacket / Brooklyn / New Belgium Rheinard de Vos,www.ratebeer.com/beer/bluejacket-brooklyn-new-belgium-rheinard-de-vos/265728/
246,Bluejacket / Brooklyn / New Belgium Twee Horsen,www.ratebeer.com/beer/bluejacket-brooklyn-new-belgium-twee-horsen/265724/
247,Bluejacket / Brooklyn / New Belgium Wild Horse Running Porter,www.ratebeer.com/beer/bluejacket-brooklyn-new-belgium-wild-horse-running-porter/265727/
248,Bluejacket / Brouwerij Het Nest 52 Pick Up,www.ratebeer.com/beer/bluejacket-brouwerij-het-nest-52-pick-up/297566/
249,Bluejacket / Cloudwater Twilights,www.ratebeer.com/beer/bluejacket-cloudwater-twilights/449126/
250,Bluejacket / Country Boy Man o' War,www.ratebeer.com/beer/bluejacket-country-boy-man-o39-war/423208/
251,Bluejacket / De La Senne Grayjacket,www.ratebeer.com/beer/bluejacket-de-la-senne-grayjacket/430574/
252,Bluejacket / Freigeist Bitterschön,www.ratebeer.com/beer/bluejacket-freigeist-bitterschon/234803/
253,Bluejacket / Freigeist Lagerfarm,www.ratebeer.com/beer/bluejacket-freigeist-lagerfarm/386937/
254,Bluejacket / Funky Buddha Bama Breeze,www.ratebeer.com/beer/bluejacket-funky-buddha-bama-breeze/297869/
255,Bluejacket / Great Raft Disaster Proof,www.ratebeer.com/beer/bluejacket-great-raft-disaster-proof/265148/
256,"Bluejacket / Great Raft It's Me, Not You",www.ratebeer.com/beer/bluejacket-great-raft-it39s-me-not-you/486061/
257,Bluejacket / Great Raft Nobody's Darling,www.ratebeer.com/beer/bluejacket-great-raft-nobody39s-darling/265290/
258,Bluejacket / Hardywood / RAR Favorite Things,www.ratebeer.com/beer/bluejacket-hardywood-rar-favorite-things/647864/
259,Bluejacket / Hardywood / RAR Nashville Skyline,www.ratebeer.com/beer/bluejacket-hardywood-rar-nashville-skyline/623991/
260,Bluejacket / Hardywood Exiles,www.ratebeer.com/beer/bluejacket-hardywood-exiles/511954/
261,Bluejacket / Haw River / Starpoint Brah'klava,www.ratebeer.com/beer/bluejacket-haw-river-starpoint-brah39klava/397096/
262,Bluejacket / Intangible Ales Gene Turns 10k,www.ratebeer.com/beer/bluejacket-intangible-ales-gene-turns-10k/282579/
263,Bluejacket / Intangible Ales Travlr's 11k,www.ratebeer.com/beer/bluejacket-intangible-ales-travlr39s-11k/282637/
264,Bluejacket / Intangible Ales Travlr's 12k,www.ratebeer.com/beer/bluejacket-intangible-ales-travlr39s-12k/282638/
265,Bluejacket / Maine Beer The Duel,www.ratebeer.com/beer/bluejacket-maine-beer-the-duel/235620/
266,Bluejacket / Moor Fields of Friendly Strife,www.ratebeer.com/beer/bluejacket-moor-fields-of-friendly-strife/359408/
267,Bluejacket / Moor Fields of Friendly Strife: Apricots,www.ratebeer.com/beer/bluejacket-moor-fields-of-friendly-strife-apricots/371376/
268,Bluejacket / Nøgne Ø Gauntlet,www.ratebeer.com/beer/bluejacket-nogne-o-gauntlet/267215/
269,Bluejacket / Nøgne Ø Gauntlet (Cranberry),www.ratebeer.com/beer/bluejacket-nogne-o-gauntlet-cranberry/286890/
270,Bluejacket / Ocelot Mixed Up/Torn Down,www.ratebeer.com/beer/bluejacket-ocelot-mixed-up-torn-down/612370/
271,Bluejacket / Otter Creek Dominant Wavelength,www.ratebeer.com/beer/bluejacket-otter-creek-dominant-wavelength/461723/
272,Bluejacket / Oxbow Wolfstur,www.ratebeer.com/beer/bluejacket-oxbow-wolfstur/323820/
273,Bluejacket / Prairie Homemade Tots,www.ratebeer.com/beer/bluejacket-prairie-homemade-tots/574109/
274,Bluejacket / Schlafly Fields of Fire,www.ratebeer.com/beer/bluejacket-schlafly-fields-of-fire/265146/
275,Bluejacket / Starpoint 85 Vagabond,www.ratebeer.com/beer/bluejacket-starpoint-85-vagabond/470878/
276,Bluejacket / Stillwater Pyro,www.ratebeer.com/beer/bluejacket-stillwater-pyro/263325/
277,Bluejacket / Struise Bombshell,www.ratebeer.com/beer/bluejacket-struise-bombshell/234812/
278,Bluejacket / Struise Trouble,www.ratebeer.com/beer/bluejacket-struise-trouble/234815/
279,Bluejacket / Terrapin Bretta World Peach,www.ratebeer.com/beer/bluejacket-terrapin-bretta-world-peach/285230/
280,Bluejacket / Trois Dames Lullaby,www.ratebeer.com/beer/bluejacket-trois-dames-lullaby/263321/
281,Bluejacket / Victory Brett Mason,www.ratebeer.com/beer/bluejacket-victory-brett-mason/401986/
282,Bluejacket 1812 Project #1: Strong Ale,www.ratebeer.com/beer/bluejacket-1812-project-1-strong-ale/283726/
